ID,TRT,Herbicide,AI,Rate,Cultivar,Rep,Run,Biomass,CNTRLAVG,VSCNTRL,Biomass_Red.
,0,Control,mesotrione,0,CRS-1,3,1,1.32,1.39,0.95,0.05
1505,78,Callisto,mesotrione,13.1,CRS-1,1,1,0.05,1.39,0.04,0.96
1506,78,Callisto,mesotrione,13.1,CRS-1,2,1,0.09,1.39,0.06,0.94
1507,78,Callisto,mesotrione,13.1,CRS-1,3,1,0.11,1.39,0.08,0.92
1508,79,Callisto,mesotrione,26.3,CRS-1,1,1,0.08,1.39,0.06,0.94
1509,79,Callisto,mesotrione,26.3,CRS-1,2,1,0.03,1.39,0.02,0.98
1510,79,Callisto,mesotrione,26.3,CRS-1,3,1,0.06,1.39,0.04,0.96
1511,80,Callisto,mesotrione,52.5,CRS-1,1,1,0.09,1.39,0.06,0.94
1512,80,Callisto,mesotrione,52.5,CRS-1,2,1,,1.39,0,1
1513,80,Callisto,mesotrione,52.5,CRS-1,3,1,0.06,1.39,0.04,0.96
1514,81,Callisto,mesotrione,79,CRS-1,1,1,0.07,1.39,0.05,0.95
1515,81,Callisto,mesotrione,79,CRS-1,2,1,0.06,1.39,0.04,0.96
1516,81,Callisto,mesotrione,79,CRS-1,3,1,0.06,1.39,0.04,0.96
1517,82,Callisto,mesotrione,105,CRS-1,1,1,0.03,1.39,0.02,0.98
1518,82,Callisto,mesotrione,105,CRS-1,2,1,0.1,1.39,0.07,0.93
1519,82,Callisto,mesotrione,105,CRS-1,3,1,0.06,1.39,0.04,0.96
1520,83,Callisto,mesotrione,210,CRS-1,1,1,0.06,1.39,0.04,0.96
1521,83,Callisto,mesotrione,210,CRS-1,2,1,0,1.39,0,1
1522,83,Callisto,mesotrione,210,CRS-1,3,1,0,1.39,0,1
1523,84,Callisto,mesotrione,420,CRS-1,1,1,0,1.39,0,1
1524,84,Callisto,mesotrione,420,CRS-1,2,1,0,1.39,0,1
1525,84,Callisto,mesotrione,420,CRS-1,3,1,0,1.39,0,1
,0,Control,tembotrione,0,CRS-1,1,1,1.28,1.39,0.92,0.08
,0,Control,tembotrione,0,CRS-1,2,1,1.57,1.39,1,0
,0,Control,tembotrione,0,CRS-1,3,1,1.32,1.39,0.95,0.05
1526,85,Laudis,tembotrione,11.5,CRS-1,1,1,0.07,1.39,0.05,0.95
1527,85,Laudis,tembotrione,11.5,CRS-1,2,1,0.09,1.39,0.06,0.94
1528,85,Laudis,tembotrione,11.5,CRS-1,3,1,0.06,1.39,0.04,0.96
1529,86,Laudis,tembotrione,23,CRS-1,1,1,0.08,1.39,0.06,0.94
1530,86,Laudis,tembotrione,23,CRS-1,2,1,0.08,1.39,0.06,0.94
1531,86,Laudis,tembotrione,23,CRS-1,3,1,0.08,1.39,0.06,0.94
1532,87,Laudis,tembotrione,46,CRS-1,1,1,0,1.39,0,1
1533,87,Laudis,tembotrione,46,CRS-1,2,1,0,1.39,0,1
1534,87,Laudis,tembotrione,46,CRS-1,3,1,0,1.39,0,1
1535,88,Laudis,tembotrione,69,CRS-1,1,1,0.07,1.39,0.05,0.95
1536,88,Laudis,tembotrione,69,CRS-1,2,1,0.07,1.39,0.05,0.95
1537,88,Laudis,tembotrione,69,CRS-1,3,1,0.05,1.39,0.04,0.96
1538,89,Laudis,tembotrione,92,CRS-1,1,1,0.08,1.39,0.06,0.94
1539,89,Laudis,tembotrione,92,CRS-1,2,1,0.08,1.39,0.06,0.94
1540,89,Laudis,tembotrione,92,CRS-1,3,1,0,1.39,0,1
1541,90,Laudis,tembotrione,184,CRS-1,1,1,0,1.39,0,1
1542,90,Laudis,tembotrione,184,CRS-1,2,1,0,1.39,0,1
1543,90,Laudis,tembotrione,184,CRS-1,3,1,0,1.39,0,1
1544,91,Laudis,tembotrione,368,CRS-1,1,1,0.05,1.39,0.04,0.96
1545,91,Laudis,tembotrione,368,CRS-1,2,1,0,1.39,0,1
1546,91,Laudis,tembotrione,368,CRS-1,3,1,0,1.39,0,1
,0,Control,rimsulfuron,0,X-59,1,2,1.38,1.38,1,0
,0,Control,rimsulfuron,0,X-59,2,2,1.69,1.38,1,0
,0,Control,rimsulfuron,0,X-59,3,2,1.07,1.38,0.78,0.22
3064,22,Resolve SG,rimsulfuron,2.74,X-59,1,2,1.1,1.38,0.8,0.2
3065,22,Resolve SG,rimsulfuron,2.74,X-59,2,2,0.12,1.38,0.09,0.91
3066,22,Resolve SG,rimsulfuron,2.74,X-59,3,2,0.87,1.38,0.63,0.37
3067,23,Resolve SG,rimsulfuron,5.5,X-59,1,2,0.23,1.38,0.17,0.83
3068,23,Resolve SG,rimsulfuron,5.5,X-59,2,2,0.11,1.38,0.08,0.92
3069,23,Resolve SG,rimsulfuron,5.5,X-59,3,2,0.23,1.38,0.17,0.83
3070,24,Resolve SG,rimsulfuron,11,X-59,1,2,0,1.38,0,1
3071,24,Resolve SG,rimsulfuron,11,X-59,2,2,0.09,1.38,0.07,0.93
3072,24,Resolve SG,rimsulfuron,11,X-59,3,2,0.47,1.38,0.34,0.66
3073,25,Resolve SG,rimsulfuron,16.4,X-59,1,2,0.07,1.38,0.05,0.95
3074,25,Resolve SG,rimsulfuron,16.4,X-59,2,2,0.29,1.38,0.21,0.79
3075,25,Resolve SG,rimsulfuron,16.4,X-59,3,2,0.11,1.38,0.08,0.92
3076,26,Resolve SG,rimsulfuron,22,X-59,1,2,0.18,1.38,0.13,0.87
3077,26,Resolve SG,rimsulfuron,22,X-59,2,2,0.24,1.38,0.17,0.83
3078,26,Resolve SG,rimsulfuron,22,X-59,3,2,0.32,1.38,0.23,0.77
3079,27,Resolve SG,rimsulfuron,44,X-59,1,2,0.18,1.38,0.13,0.87
3080,27,Resolve SG,rimsulfuron,44,X-59,2,2,0.18,1.38,0.13,0.87
3081,27,Resolve SG,rimsulfuron,44,X-59,3,2,0.07,1.38,0.05,0.95
3082,28,Resolve SG,rimsulfuron,88,X-59,1,2,0.21,1.38,0.15,0.85
3083,28,Resolve SG,rimsulfuron,88,X-59,2,2,0.1,1.38,0.07,0.93
3084,28,Resolve SG,rimsulfuron,88,X-59,3,2,0,1.38,0,1
,0,Control,chlorimuron-ethyl,0,X-59,1,2,2.6,1.92,1,0
,0,Control,chlorimuron-ethyl,0,X-59,2,2,1.35,1.92,0.7,0.3
,0,Control,chlorimuron-ethyl,0,X-59,3,2,1.81,1.92,0.94,0.06
3085,29,Classic,chlorimuron-ethyl,6.6,X-59,1,2,0.23,1.92,0.12,0.88
3086,29,Classic,chlorimuron-ethyl,6.6,X-59,2,2,0,1.92,0,1
3087,29,Classic,chlorimuron-ethyl,6.6,X-59,3,2,0.34,1.92,0.18,0.82
3088,30,Classic,chlorimuron-ethyl,13.1,X-59,1,2,0.31,1.92,0.16,0.84
3089,30,Classic,chlorimuron-ethyl,13.1,X-59,2,2,0.16,1.92,0.08,0.92
3090,30,Classic,chlorimuron-ethyl,13.1,X-59,3,2,0.18,1.92,0.09,0.91
3091,31,Classic,chlorimuron-ethyl,26.3,X-59,1,2,0.7,1.92,0.36,0.64
3092,31,Classic,chlorimuron-ethyl,26.3,X-59,2,2,0.21,1.92,0.11,0.89
3093,31,Classic,chlorimuron-ethyl,26.3,X-59,3,2,0.43,1.92,0.22,0.78
3094,32,Classic,chlorimuron-ethyl,39.4,X-59,1,2,0.43,1.92,0.22,0.78
3095,32,Classic,chlorimuron-ethyl,39.4,X-59,2,2,0.51,1.92,0.27,0.73
3096,32,Classic,chlorimuron-ethyl,39.4,X-59,3,2,0.12,1.92,0.06,0.94
3097,33,Classic,chlorimuron-ethyl,52.5,X-59,1,2,0.14,1.92,0.07,0.93
3098,33,Classic,chlorimuron-ethyl,52.5,X-59,2,2,0.19,1.92,0.1,0.9
3099,33,Classic,chlorimuron-ethyl,52.5,X-59,3,2,0.25,1.92,0.13,0.87
3100,34,Classic,chlorimuron-ethyl,105,X-59,1,2,0,1.92,0,1
3101,34,Classic,chlorimuron-ethyl,105,X-59,2,2,0.13,1.92,0.07,0.93
3102,34,Classic,chlorimuron-ethyl,105,X-59,3,2,0.19,1.92,0.1,0.9
3103,35,Classic,chlorimuron-ethyl,210,X-59,1,2,0,1.92,0,1
3104,35,Classic,chlorimuron-ethyl,210,X-59,2,2,0,1.92,0,1
3105,35,Classic,chlorimuron-ethyl,210,X-59,3,2,0,1.92,0,1
,0,Control,imazethapyr,0,X-59,1,2,2.6,1.92,1,0
,0,Control,imazethapyr,0,X-59,2,2,1.35,1.92,0.7,0.3
,0,Control,imazethapyr,0,X-59,3,2,1.81,1.92,0.94,0.06
3106,36,Pursuit,imazethapyr,8.8,X-59,1,2,1.78,1.92,0.93,0.07
3107,36,Pursuit,imazethapyr,8.8,X-59,2,2,2.06,1.92,1,0
3108,36,Pursuit,imazethapyr,8.8,X-59,3,2,0.95,1.92,0.49,0.51
